Seller,App Name
2GIS,2ГИС (6.8.0)
Adobe Inc.,Acrobat (22.11.01)
Aleksandr Seledkov,СушиMake (2.35)
Alibaba,AliExpress (8.61.0)
"Alibaba.com (RU), LLC",AliExpress (8.20.315)
Amayama Auto LLC,"Дром ПДД (3.11), Дром (5.18.1)"
"App Influence, LLC",Binaural (2.9.1)
Apple,"iTunes U (2540), Numbers (6724), Поддержка (4.8), Keynote (6382), iMovie (4630.9.39)"
Azamat Bayzulaev,PeaceDeath (1.6.11)
BESKONTAKT,Кошелёк (5.87)
"Blizzard Entertainment, Inc.",Authenticator (2.5.0)
Bonlook Inc,Eye Measure (1.22)
"Bungie, Inc.",Мобильное приложение Destiny 2 (202101041712.985)
Bytedance Pte. Ltd,CapCut (6.8.0)
CLOUD FARMER L.L.C-FZ,Touch Wallet (1.3.1)
Cheetah Technology Corporation Limited,Не коснись белой плитки (4.2.0.6)
ComcSoft Corporation,iZip (19.80)
Creaceed SRL,Hydra (2.2)
"Davetech Co., Ltd.",MinimaList (2.12.1)
Davey Hollenberg,ElectronicsTK (1.1.7)
"Delivery Club, LLC",Delivery Club (7.119.0)
"Demon Network Tech Co., Ltd.",17TRACK (3.1.6080)
"Discord, Inc.",Discord (157.0)
"Dodo Franchaizing, OOO","Додо Пицца: доставка, ресторан (8391)"
Eyeo GmbH,Adblock Plus (2.1)
"FUDSOUL, OOO",Бирма (7.4.1)
FatSecret,FatSecret (9.19)
Fulvio Scichilone,DSLR Camera (10.1.2)
Gazprombank AO,Газпромбанк (2.2.0)
GitHub,GitHub (1.93.0)
Glitche Ltd.,Glitché (2.32)
Google LLC,"YouTube (17.49.6), Gmail (6.0.221127), Authenticator (3.4), Документы (1.2022.48202), Classroom (2.2022.42201), Chrome (107.5304.101), Meet (исходная версия) (104.0.0), Google Переводчик (6.50.1), Jamboard (2.1.101), Диск (4.2022.48200), Таблицы (1.2022.48203), Календарь Google (22.45.0)"
H&M,H&M - мы любим моду (115)
HeadHunter,hh работа (7.1)
Huami Inc.,Zepp Life (6.5.2)
IKEA,IKEA Store (340)
"Instagram, Inc.",Instagram (264.1)
Intertech Services AG,"Яндекс Go (650.69.0), Я.Электрички (32700), Кинопоиск (6.71.0), Я.Музыка (599), Яндекс Еда (6.0.0), Я.Маркет (471), Яндекс Карты (1430)"
Ipnos Software Inc.,BetterSleep (20.23)
JIAN CAI,NeoShot (3.3.1)
Junjie Ruan,Файловый (2.9)
"KEH eCommerce, LLC",Авито (141.5)
"KRONOS, OOO",Uber Russia (650.59.2)
"Mathway, LLC",Mathway (5.1.3)
Mattia Fochesato,AmazTools (1.2.13)
"Meta Platforms, Inc.","Facebook (396.0), Meta Quest (193.0)"
Michael Grinman,24U-удобная покупка в вендинге (280)
Microsoft Corporation,OneNote (16.68)
Moskva Makdonalds ZAO,Вкусно — и точка (9.2.0)
Mubert Inc.,Mubert: AI Music Streaming (2)
NET Sigma,Glitch Studio (4.6)
NSPK,"Привет, Мир! (2.0.0)"
Ndemic Creations,Plague Inc. (1.19.2)
"Notion Labs, Incorporated",Notion (0.4.745)
OOO Scartel,YOTA (11.20)
"OSTIN, OOO",O’STIN (1.25.2)
OZON.ru,OZON (14.46.2)
Oisin O'Neill,Tarkov Map (1.6.2)
Oleksandr Serhiienko,Таймер (5.1.8)
Ookla,Speedtest (4.5.1)
PAPA HOLDING LTD,Bitpapa (1.11.2)
PICOOC,PICOOC (3.27.0)
"Photomath, Inc.",Photomath (8.17.0)
Platius,СберФуд: кафе и рестораны (512)
"Polarr, Inc.",Polarr (6.6.10)
Profi.ru,PROFI (120)
"QIWI Bank, JSC",QIWI (9.7.1)
R-Soft,Дурак (1.9.14)
RSA Ltd,Самокат (3.72.0)
Reincubate,Camo (1.9.2)
RobTop Games AB,Geometry Lite (2.21.3)
Rosinter Restaurants LLC,Почётный Гость - Доставка еды (1)
S7 Airlines,S7 Airlines: поиск авиабилетов (13)
SHANTANU PTE. LTD.,InShot (1.63.3)
SKED TOV,Расписание (1.6.0)
"Shenzhen Zhongji Technology Co., Ltd.",LED LAMP (3.6.16)
Shuyong Jia,Unzip (4.9)
Sibirskie seti,Мои Сибсети (0.9.138)
Skype Communications S.a.r.l,Skype (8.92.204)
Sleep Cycle AB,Sleep Cycle (6.22.49)
"Snap, Inc.",Snapchat (12.12.1)
SoundCloud Global Limited & Co KG,SoundCloud (6.14.5)
Spotify,Spotify (8.7.92)
Stanislav Topanov,AmazFaces (3.9)
Stronger Apps,TOR Browser (3.2.2)
Sybo Games ApS,Subway Surf (3.5.0)
Synaptikon GmbH,Neuronation (3.6.96)
THX GAMES Zrt,Triviador (1.5.144)
TONAPPS INC,Tonkeeper (2.8.0)
Telegram FZ-LLC,Telegram (9.2.1)
Termius Corporation,Termius (4.13.7)
Theodore Dubois,iSH (1.2.3)
Tinkoff Bank,"Инвестиции (6.0.0), Тинькофф (6.11)"
"Trello, Inc.",Trello (2022.16)
"Twitter, Inc.",Twitter (9.38)
Ubisoft,Ubi Connect (9.2.0)
Uova Oy,Ultralight (5.0.1)
Urent,Юрент (1.5.0)
V Kontakte OOO,"Почта Mail.ru (14.21), VK (8.9.1)"
Vadim Yumadilov,Тяжеловато (1.2.7)
Valve,"Steam (3.2.5), Steam Chat (1.0.39), Steam Link (1.2.0)"
Veritas,Battle Buddy (1.2.0)
Viktor Kumanenkov,ОБОИ (2.23)
Vladimir Zarichnyy,GeometryWork (4)
WhatsApp Inc.,‎WhatsApp (22.24.81)
Whoosh Ltd.,Whoosh (1.9.12)
WireGuard Development Team,WireGuard (1.0.15)
Yandex LLC,"Яндекс (221170073), Диск (463)"
Yum! Restaurants International Russia LLC,KFC (9.2.0)
ZIGZAG MOBILE,Зигзаг (13.1)
"Zoom Video Communications, Inc.",Zoom (5.12.9)
Бургер Кинг Россия,Burger King (10.22.0)
"ГНИВЦ, АО",Налоги ФЛ (1.49.1)
Лига здоровья нации,Человек идущий (4.0.29)
Минкомсвязь РФ,"Культура (1.0.38), Госуслуги (6.1.0)"
Новосибирский государственный университет,Мой НГУ (1.1)
"ООО """"Инфоком""""",Экспресс-пригород (1.2.1)
Парфюмерный супермаркет «Золотое Яблоко»,Золотое Яблоко (4.1.0)
СДЭК Глобал,CDEK (3.29.1)
Сбербанк России,"СберСпасибо (5.2.4), СберБанк (12.15.0)"
